RM204 - Number of Dwellings,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2024],,
Population :,Dwellings,
Units      :,Dwellings,
Number of dwellings:,Total,
,,
local authority: county / unitary (as of April 2023),mnemonic,2021
,,
Barking and Dagenham 001A,E01000027,682
Barking and Dagenham 001B,E01000028,639
Barking and Dagenham 001C,E01000029,699
Barking and Dagenham 001D,E01000030,931
Barking and Dagenham 002A,E01000031,617
Barking and Dagenham 002B,E01000032,759
Barking and Dagenham 002C,E01000110,543
Barking and Dagenham 002D,E01000111,780
Barking and Dagenham 002E,E01000112,744
Barking and Dagenham 002F,E01000113,671
Barking and Dagenham 003A,E01000034,531
Barking and Dagenham 003B,E01000037,603
Barking and Dagenham 003C,E01000038,582
Barking and Dagenham 003D,E01000039,672
Barking and Dagenham 004A,E01000063,649
Barking and Dagenham 004B,E01000100,674
Barking and Dagenham 004C,E01000101,600
Barking and Dagenham 004E,E01000114,800
Barking and Dagenham 004F,E01034469,556
Barking and Dagenham 004G,E01034470,490
Barking and Dagenham 006A,E01000033,559
Barking and Dagenham 006B,E01000060,836
Barking and Dagenham 006C,E01000061,772
Barking and Dagenham 006D,E01000062,799
Barking and Dagenham 006E,E01000064,830
Barking and Dagenham 007A,E01000065,803
Barking and Dagenham 007B,E01000078,657
Barking and Dagenham 007C,E01000080,630
Barking and Dagenham 007D,E01000081,673
Barking and Dagenham 007E,E01000082,723
Barking and Dagenham 007F,E01000083,649
Barking and Dagenham 007G,E01000102,649
Barking and Dagenham 008A,E01000021,598
Barking and Dagenham 008B,E01000022,491
Barking and Dagenham 008D,E01000024,477
Barking and Dagenham 008E,E01000025,710
Barking and Dagenham 008F,E01000077,605
Barking and Dagenham 008G,E01034471,793
Barking and Dagenham 008H,E01034472,679
Barking and Dagenham 009A,E01000015,855
Barking and Dagenham 009B,E01000016,641
Barking and Dagenham 009C,E01000017,622
Barking and Dagenham 009D,E01000018,657
Barking and Dagenham 009E,E01000079,642
Barking and Dagenham 010A,E01000035,630
Barking and Dagenham 010B,E01000036,494
Barking and Dagenham 010C,E01000107,629
Barking and Dagenham 010D,E01000108,732
Barking and Dagenham 011A,E01000066,732
Barking and Dagenham 011B,E01000067,676
Barking and Dagenham 011C,E01000069,553
Barking and Dagenham 011D,E01000070,608
Barking and Dagenham 011E,E01000071,854
Barking and Dagenham 012A,E01000057,550
Barking and Dagenham 012B,E01000073,677
Barking and Dagenham 012C,E01000074,639
Barking and Dagenham 012D,E01000075,654
Barking and Dagenham 012E,E01000076,808
Barking and Dagenham 013A,E01000013,659
Barking and Dagenham 013B,E01000014,660
Barking and Dagenham 013C,E01000059,595
Barking and Dagenham 013D,E01000084,527
Barking and Dagenham 013E,E01000085,618
Barking and Dagenham 013F,E01000086,517
Barking and Dagenham 014A,E01000103,561
Barking and Dagenham 014B,E01000104,741
Barking and Dagenham 014C,E01000105,995
Barking and Dagenham 014D,E01000106,934
Barking and Dagenham 015A,E01000007,1282
Barking and Dagenham 015B,E01000008,557
Barking and Dagenham 015D,E01000012,831
Barking and Dagenham 015E,E01034473,472
Barking and Dagenham 015F,E01034474,900
Barking and Dagenham 016A,E01000006,581
Barking and Dagenham 016B,E01000009,654
Barking and Dagenham 016C,E01000011,510
Barking and Dagenham 016D,E01000044,687
Barking and Dagenham 016E,E01000068,493
Barking and Dagenham 017A,E01000041,614
Barking and Dagenham 017B,E01000042,670
Barking and Dagenham 017C,E01000045,604
Barking and Dagenham 017D,E01000046,685
Barking and Dagenham 017E,E01000072,764
Barking and Dagenham 018A,E01000054,657
Barking and Dagenham 018B,E01000055,583
Barking and Dagenham 018C,E01000056,587
Barking and Dagenham 018D,E01000058,721
Barking and Dagenham 018E,E01000095,776
Barking and Dagenham 019A,E01000040,680
Barking and Dagenham 019B,E01000043,483
Barking and Dagenham 019C,E01000050,657
Barking and Dagenham 019D,E01000052,819
Barking and Dagenham 019F,E01034475,604
Barking and Dagenham 019G,E01034476,530
Barking and Dagenham 019H,E01034477,581
Barking and Dagenham 019I,E01034478,503
Barking and Dagenham 020A,E01000053,736
Barking and Dagenham 020B,E01000087,535
Barking and Dagenham 020C,E01000088,631
Barking and Dagenham 020D,E01000089,638
Barking and Dagenham 020E,E01000090,575
Barking and Dagenham 021C,E01000049,632
Barking and Dagenham 021D,E01000051,443
Barking and Dagenham 021E,E01033587,1075
Barking and Dagenham 021G,E01034479,781
Barking and Dagenham 022A,E01000091,701
Barking and Dagenham 022B,E01000093,691
Barking and Dagenham 022C,E01000094,905
Barking and Dagenham 022D,E01000096,503
Barking and Dagenham 023A,E01000019,515
Barking and Dagenham 023B,E01000020,681
Barking and Dagenham 023C,E01000097,702
Barking and Dagenham 023D,E01000098,644
Barking and Dagenham 023E,E01000099,957
Barking and Dagenham 023F,E01032580,503
Barnet 001A,E01000248,741
Barnet 001B,E01000249,627
Barnet 001C,E01000250,1197
Barnet 001D,E01000254,661
Barnet 001E,E01000292,683
Barnet 001F,E01000293,717
Barnet 002A,E01000167,529
Barnet 002B,E01000246,671
Barnet 002C,E01000247,764
Barnet 002D,E01000251,1109
Barnet 002E,E01000252,812
Barnet 003A,E01000166,669
Barnet 003B,E01000168,578
Barnet 003C,E01000169,717
Barnet 003D,E01000172,613
Barnet 004A,E01000285,627
Barnet 004B,E01000287,627
Barnet 004C,E01000288,577
Barnet 004D,E01000289,563
Barnet 004E,E01000291,626
Barnet 004F,E01000294,748
Barnet 005A,E01000267,597
Barnet 005B,E01000268,982
Barnet 005C,E01000269,557
Barnet 005D,E01000270,647
Barnet 006A,E01000170,718
Barnet 006B,E01000171,1023
Barnet 006C,E01000173,629
Barnet 006D,E01000174,775
Barnet 006E,E01000175,653
Barnet 007A,E01000228,477
Barnet 007B,E01000253,740
Barnet 007C,E01000279,548
Barnet 007D,E01000280,527
Barnet 007E,E01000286,681
Barnet 007F,E01000290,697
Barnet 008A,E01000271,647
Barnet 008B,E01000272,525
Barnet 008C,E01000273,779
Barnet 008D,E01000281,857
Barnet 008E,E01000282,718
Barnet 009A,E01000115,493
Barnet 009B,E01000116,632
Barnet 009C,E01000119,639
Barnet 009D,E01000120,511
Barnet 009E,E01000122,529
Barnet 010A,E01000117,720
Barnet 010B,E01000118,773
Barnet 010C,E01000121,533
Barnet 010D,E01000123,747
Barnet 010E,E01000124,804
Barnet 011A,E01000265,821
Barnet 011B,E01000266,520
Barnet 011C,E01000274,719
Barnet 011D,E01000320,844
Barnet 011E,E01000322,827
Barnet 012A,E01000275,700
Barnet 012B,E01000277,808
Barnet 012C,E01000283,487
Barnet 012D,E01000284,886
Barnet 012E,E01000321,849
Barnet 013A,E01000195,730
Barnet 013B,E01000229,591
Barnet 013C,E01000230,690
Barnet 013D,E01000231,643
Barnet 013E,E01000232,740
Barnet 013F,E01000233,677
Barnet 014A,E01000186,519
Barnet 014B,E01000187,602
Barnet 014C,E01000188,519
Barnet 014D,E01000189,1020
Barnet 014E,E01000190,584
Barnet 014F,E01000191,577
Barnet 015A,E01000158,571
Barnet 015B,E01000159,668
Barnet 015C,E01000160,854
Barnet 015D,E01000161,847
Barnet 015E,E01000162,568
Barnet 015F,E01000324,671
Barnet 016A,E01000256,702
Barnet 016B,E01000258,827
Barnet 016C,E01000263,517
Barnet 016D,E01000264,795
Barnet 017A,E01000255,679
Barnet 017B,E01000257,1018
Barnet 017C,E01000261,706
Barnet 017E,E01033911,697
Barnet 017F,E01033912,723
Barnet 018A,E01000192,761
Barnet 018B,E01000193,753
Barnet 018C,E01000194,750
Barnet 018D,E01000226,625
Barnet 018E,E01000227,616
Barnet 019A,E01000299,951
Barnet 019B,E01000300,713
Barnet 019C,E01000302,878
Barnet 019D,E01000317,682
Barnet 019E,E01000318,653
Barnet 019F,E01000323,1066
Barnet 020A,E01000276,506
Barnet 020B,E01000278,517
Barnet 020C,E01000301,558
Barnet 020D,E01000303,559
Barnet 020E,E01000304,630
Barnet 021A,E01000130,669
Barnet 021B,E01000132,516
Barnet 021C,E01000133,596
Barnet 021D,E01000234,724
Barnet 021E,E01000235,678
Barnet 022A,E01000156,768
Barnet 022B,E01000157,689
Barnet 022C,E01000163,817
Barnet 022D,E01000164,663
Barnet 022E,E01000165,723
Barnet 022F,E01000315,644
Barnet 023A,E01000197,758
Barnet 023B,E01000295,680
Barnet 023C,E01000296,814
Barnet 023D,E01000298,791
Barnet 024B,E01000127,534
Barnet 024C,E01000128,658
Barnet 024D,E01000129,619
Barnet 024E,E01000131,740
Barnet 024F,E01000134,653
Barnet 024G,E01033913,557
Barnet 024H,E01033914,610
Barnet 025A,E01000198,818
Barnet 025B,E01000199,711
Barnet 025C,E01000204,741
Barnet 025D,E01000259,1013
Barnet 025E,E01000260,866
Barnet 026A,E01000126,780
Barnet 026B,E01000151,683
Barnet 026C,E01000152,943
Barnet 026D,E01000153,780
Barnet 026E,E01000154,724
Barnet 027A,E01000176,745
Barnet 027B,E01000178,714
Barnet 027C,E01000184,716
Barnet 027D,E01000297,562
Barnet 027E,E01000316,924
Barnet 027F,E01000319,521
Barnet 028A,E01000196,1182
Barnet 028B,E01000200,942
Barnet 028C,E01000201,552
Barnet 028D,E01000202,659
Barnet 028E,E01000203,731
Barnet 029A,E01000177,715
Barnet 029B,E01000179,807
Barnet 029C,E01000180,689
Barnet 029D,E01000181,719
Barnet 029E,E01000182,764
Barnet 029F,E01000185,661
Barnet 031A,E01000239,985
Barnet 031B,E01000240,667
Barnet 031C,E01000241,738
Barnet 031D,E01000309,742
Barnet 032A,E01000237,803
Barnet 032B,E01000242,632
Barnet 032C,E01000243,953
Barnet 032D,E01000244,665
Barnet 032E,E01000245,934
Barnet 032F,E01000314,819
Barnet 033A,E01000183,631
Barnet 033B,E01000206,605
Barnet 033C,E01000207,686
Barnet 033D,E01000208,672
Barnet 033E,E01000210,610
Barnet 033F,E01000213,465
Barnet 034A,E01000236,735
Barnet 034B,E01000238,670
Barnet 034C,E01000310,911
Barnet 034D,E01000311,565
Barnet 035A,E01000205,631
Barnet 035B,E01000209,780
Barnet 035C,E01000211,1007
Barnet 035D,E01000212,584
Barnet 035E,E01000216,758
Barnet 035F,E01000217,577
Barnet 036A,E01000150,795
Barnet 036B,E01000305,693
Barnet 036C,E01000306,642
Barnet 036D,E01000308,1073
Barnet 036E,E01000312,740
Barnet 036F,E01000313,774
Barnet 037A,E01000145,536
Barnet 037B,E01000215,766
Barnet 037C,E01000218,645
Barnet 037D,E01000219,697
Barnet 037E,E01000220,731
Barnet 037F,E01000225,589
Barnet 038A,E01000135,679
Barnet 038B,E01000136,608
Barnet 038C,E01000144,776
Barnet 038D,E01000146,944
Barnet 038E,E01000214,830
Barnet 039A,E01000141,858
Barnet 039B,E01000221,540
Barnet 039C,E01000223,767
Barnet 039D,E01000307,565
Barnet 040A,E01000138,697
Barnet 040B,E01000142,961
Barnet 040C,E01000222,760
Barnet 040D,E01000224,587
Barnet 041A,E01000137,699
Barnet 041B,E01000139,604
Barnet 041C,E01000140,944
Barnet 041D,E01000143,703
Barnet 042A,E01033915,619
Barnet 042B,E01033916,694
Barnet 042C,E01033917,808
Barnet 042D,E01033918,703
Barnet 042E,E01033919,738
Barnet 042F,E01033920,679
Barnet 043F,E01000147,582
Barnet 043A,E01033921,732
